,Bacteroidales,Oscillospirales,RF32,Verrucomicrobiales,Actinomycetales,Lactobacillales,Enterobacterales,Veillonellales,Brachyspirales,Haloplasmatales,Lachnospirales,Clostridiales,Erysipelotrichales,Acidaminococcales
MB-4261,0.3072078419684512,0.6927921580315486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7907,0.1181907576482323,0.1988208705331026,0.0,0.0,0.0,0.0,0.4149701768930669,0.0,0.0,0.0,0.0,0.0,0.2680181949255982,0.0
MB-5723,0.6748233772201208,0.0,0.0,0.0,0.1296792384161778,0.1525661194091262,0.0,0.0320279509045295,0.0,0.0109033140500454,0.0,0.0,0.0,0.0
MB-2553,0.6087671846970208,0.3912328153029791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-6356,0.1852758107826397,0.1942244800972254,0.0,0.0,0.1242541454045294,0.0,0.0,0.0,0.2184550845279924,0.0,0.0720752243716959,0.0,0.2057152548159169,0.0
MB-8934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-9669,0.2044828311196252,0.0,0.0,0.0,0.0,0.3970740391199696,0.0,0.0,0.0,0.0,0.0,0.0,0.3984431297604053,0.0
MB-7022,0.3054543586813082,0.3065464216143951,0.0,0.2142542148381938,0.1737450048661027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-2994,0.4435915109714643,0.2555708210717927,0.0,0.0,0.0,0.3008376679567429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7364,0.2608715940182793,0.2361194909500773,0.1664797043751333,0.0,0.0,0.0,0.0,0.044343180533011,0.0,0.0,0.0,0.2921860301234988,0.0,0.0
MB-8906,0.0346000629328863,0.331306339147389,0.0,0.0,0.0,0.6340935979197246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-5070,0.4623510621326093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3312748764733264,0.0,0.2063740613940643,0.0
MB-9204,0.5651405639281288,0.0,0.0,0.0,0.0,0.0,0.0,0.1707833725173919,0.2640760635544792,0.0,0.0,0.0,0.0,0.0
MB-6021,0.0,0.0,0.0,0.0,0.3166247596670815,0.0,0.0,0.0,0.0,0.0039604955209823,0.2942266907362512,0.0,0.0,0.3851880540756849
MB-7403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7303,0.0469930398508131,0.2999237589510923,0.0721915665776884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1576896327959401,0.1322409103959163,0.1407073385170935,0.150253752911456
MB-1073,0.0473636213222146,0.2890281094549436,0.0,0.0,0.2844899894951296,0.3791182797277119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-2770,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-9157,0.5767803984687001,0.0,0.0,0.0,0.0,0.0,0.2872130268163254,0.0,0.0,0.1360065747149745,0.0,0.0,0.0,0.0
MB-1300,0.2571949010676486,0.2972639268585081,0.0,0.0,0.0,0.4455411720738432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7430,0.0,0.0,0.0,0.0,0.0691944840206225,0.0,0.0,0.4633399370198784,0.467465578959499,0.0,0.0,0.0,0.0,0.0
MB-4304,0.0,0.0,0.0,0.0,0.3365920990317729,0.6634079009682272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-1086,0.3584724567120344,0.3685042941634308,0.0,0.0,0.0,0.0,0.2730232491245347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-2021,0.1780379426264481,0.1234040998525255,0.0,0.0,0.1093884814596802,0.0,0.0,0.0,0.0,0.0,0.1849532375855667,0.1017687674057008,0.3024474710700784,0.0
MB-6194,0.3826450450818759,0.0,0.0,0.0,0.3782182697030828,0.0,0.0,0.0,0.0,0.0,0.2391366852150412,0.0,0.0,0.0
MB-4084,0.0,0.0,0.0,0.0,0.5690319508990844,0.0,0.0,0.4309680491009154,0.0,0.0,0.0,0.0,0.0,0.0
MB-9244,0.0,0.8662890762999365,0.0,0.0,0.0,0.1200596109839503,0.0,0.013651312716113,0.0,0.0,0.0,0.0,0.0,0.0
MB-8279,0.6633477511133394,0.0768776126161063,0.0,0.0,0.2597746362705543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7442,0.1219654278384308,0.3483898811609898,0.0,0.0,0.0,0.3495023613060144,0.0,0.0,0.0,0.0,0.1801423296945649,0.0,0.0,0.0
MB-8019,0.0219457154443238,0.2992620728602542,0.0,0.0,0.2504682055629744,0.1143024007756343,0.0,0.0,0.0,0.0,0.3140216053568131,0.0,0.0,0.0
MB-1146,0.0,0.0,0.3456694860753208,0.3058234915164201,0.270376979399952,0.0,0.0,0.0,0.0,0.0044940445669741,0.0736359984413329,0.0,0.0,0.0
MB-2428,0.3021266894036855,0.0,0.1973099917901181,0.0,0.1574473085129097,0.0,0.0,0.0348403081086096,0.0,0.0,0.0,0.0,0.2089537788288259,0.0993219233558508
MB-1137,0.5115428136315925,0.1878479584671618,0.0,0.0,0.0,0.1190606732685371,0.0,0.0397170383064532,0.0,0.0,0.0,0.1418315163262549,0.0,0.0
MB-9250,0.0,0.2728098487974317,0.0,0.0,0.7271901512025682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-3908,0.0,0.0,0.0,0.0,0.4026779064665819,0.597322093533418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-2826,0.5960537193346427,0.0938272510296722,0.0,0.0,0.0,0.192020829495604,0.0,0.0,0.1085941382154153,0.0,0.0095040619246655,0.0,0.0,0.0
MB-6409,0.3199907761891807,0.644775509297428,0.0352337145133909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
